trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
67,2,4,100.0,28.75,0.026,9.34,22
67,6,4,0.0,65.05,0.076,0.46,14
67,12,4,100.0,36.9,0.103,4.64,11
67,18,4,100.0,58.4,0.134,4.18,10
67,24,4,100.0,36.85,0.284,24.54,22
68,2,4,100.0,40.55,0.026,7.74,15
68,6,4,100.0,26.3,0.063,0.03,15
69,2,4,0.0,65.05,0.022,0.95,12
69,6,4,0.0,65.05,0.096,0.38,21
70,2,4,100.0,50.5,0.019,0.18,11
70,6,4,100.0,35.35,0.047,3.23,14
70,12,4,100.0,49.9,0.151,54.49,21
70,18,4,100.0,58.5,0.19,35.7,22
70,24,4,100.0,44.7,0.204,22.02,7
70,30,4,100.0,63.9,0.254,120.3,39
71,2,4,100.0,28.75,0.024,0.0,16
71,6,4,100.0,37.45,0.056,4.42,11
72,2,4,100.0,34.05,0.028,0.0,18
72,6,4,100.0,41.75,0.04,0.67,17
72,12,4,100.0,36.6,0.089,6.23,11
72,18,4,100.0,41.25,0.121,71.48,27
73,2,4,100.0,47.35,0.021,0.0,14
73,6,4,100.0,38.55,0.04,20.0,16
73,12,4,0.0,65.05,0.111,35.13,13
74,2,4,100.0,45.55,0.018,15.94,23
74,6,4,100.0,49.5,0.047,1.14,11
74,12,4,100.0,35.6,0.136,8.56,19
74,18,4,100.0,42.9,0.165,0.21,10
74,24,4,0.0,65.05,0.219,9.65,13
74,30,4,100.0,51.2,0.268,113.98,36
75,2,4,100.0,29.2,0.029,0.02,15
75,6,4,100.0,64.9,0.088,7.6,18
75,12,4,100.0,35.3,0.089,16.98,19
75,18,4,100.0,60.8,0.283,2.82,14
75,24,4,100.0,35.3,0.183,1.61,10
75,30,4,100.0,51.95,0.26,1.19,10
76,2,4,100.0,28.6,0.029,0.15,21
76,6,4,100.0,43.15,0.042,30.17,34
76,12,4,100.0,49.85,0.14,23.19,14
76,18,4,100.0,46.25,0.214,24.36,15
76,24,4,100.0,40.7,0.224,19.52,17
76,30,4,100.0,42.85,0.263,34.9,21
77,2,4,100.0,46.5,0.041,0.02,20
77,6,4,100.0,40.7,0.086,0.32,15
77,12,4,100.0,36.5,0.103,0.53,17
77,18,4,100.0,48.5,0.185,8.39,8
77,24,4,0.0,65.05,0.15,355.06,74
77,30,4,100.0,39.85,0.186,64.57,20
78,2,4,0.0,65.05,0.059,8.88,11
78,6,4,100.0,51.4,0.126,8.57,11
78,12,4,100.0,60.8,0.165,7.85,14
78,18,4,100.0,47.15,0.114,62.38,24
78,24,4,100.0,36.9,0.136,23.66,20
78,30,4,100.0,41.25,0.361,32.56,26
79,2,4,100.0,32.85,0.03,0.01,15
79,6,4,100.0,49.4,0.068,0.6,8
79,12,4,100.0,45.0,0.135,15.58,17
79,18,4,100.0,38.35,0.094,38.45,26
79,24,4,0.0,65.05,0.098,36.23,9
79,30,4,100.0,65.0,0.232,29.29,22
80,2,4,100.0,42.35,0.037,0.04,18
80,6,4,100.0,41.45,0.032,1.99,15
80,12,4,100.0,35.3,0.127,0.96,10
80,18,4,100.0,51.2,0.236,12.07,18
80,24,4,100.0,52.3,0.287,15.53,15
80,30,4,0.0,65.05,0.376,198.55,24
81,2,4,0.0,65.05,0.049,4.71,21
81,6,4,100.0,48.7,0.058,2.7,16
81,12,4,100.0,56.5,0.09,22.15,31
81,18,4,100.0,35.3,0.151,28.91,20
81,24,4,0.0,65.05,0.185,8.69,17
81,30,4,100.0,50.95,0.282,99.14,27
82,2,4,100.0,27.0,0.024,16.45,18
82,6,4,100.0,44.9,0.124,0.21,28
82,12,4,100.0,47.35,0.174,10.68,11
82,18,4,0.0,65.05,0.25,21.57,14
82,24,4,100.0,36.15,0.181,27.78,17
82,30,4,0.0,65.05,0.426,59.19,20
83,2,4,100.0,24.9,0.028,0.06,16
83,6,4,100.0,45.8,0.062,5.36,18
83,12,4,100.0,52.95,0.102,4.64,15
83,18,4,0.0,65.05,0.178,21.5,14
83,24,4,100.0,40.4,0.269,39.31,20
83,30,4,100.0,61.35,0.376,38.16,29
