trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
36,w/o Corridor Mutex Lock,R_lock = 0,1,29.2,0,0.03,63,1,0.517,0
36,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.37,58,27,0.52,0
36,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.04,347,85,0.0,0
37,Full D2RO Framework,None (Complete Equation),1,35.8,0,0.01,52,1,0.504,0
37,w/o V2V Mesh Telemetry,W_mesh = 0,1,32.05,0,0.02,104,3,0.504,0
37,w/o Corridor Mutex Lock,R_lock = 0,1,32.05,0,0.02,104,3,0.504,0
37,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.33,319,63,0.502,0
37,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,42.5,0,0.01,271,97,0.0,0
38,Full D2RO Framework,None (Complete Equation),1,45.25,0,0.03,79,6,0.511,0
38,w/o V2V Mesh Telemetry,W_mesh = 0,1,29.35,0,0.02,69,3,0.515,0
38,w/o Corridor Mutex Lock,R_lock = 0,1,29.35,0,0.02,69,3,0.515,0
38,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,12.87,256,114,0.51,0
38,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.75,0,0.03,231,89,0.0,0
39,Full D2RO Framework,None (Complete Equation),1,48.1,0,0.01,145,6,0.513,0
39,w/o V2V Mesh Telemetry,W_mesh = 0,1,33.35,0,0.01,148,3,0.517,0
39,w/o Corridor Mutex Lock,R_lock = 0,1,33.35,0,0.01,148,3,0.517,0
39,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.92,236,51,0.507,0
39,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,43.55,0,0.0,295,95,0.0,0
40,Full D2RO Framework,None (Complete Equation),1,46.05,0,0.02,142,5,0.517,0
40,w/o V2V Mesh Telemetry,W_mesh = 0,1,38.25,0,0.02,432,6,0.496,0
40,w/o Corridor Mutex Lock,R_lock = 0,1,38.25,0,0.02,432,6,0.496,0
40,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,20.23,220,67,0.369,0
40,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,44.25,0,0.02,310,96,0.0,0
41,Full D2RO Framework,None (Complete Equation),1,43.35,0,0.01,153,3,0.511,0
41,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.45,0,0.0,80,3,0.504,0
41,w/o Corridor Mutex Lock,R_lock = 0,1,27.45,0,0.0,80,3,0.504,0
41,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.78,181,96,0.511,0
41,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,42.5,0,0.01,224,82,0.0,0
42,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,114,1,0.511,0
42,w/o V2V Mesh Telemetry,W_mesh = 0,1,26.9,0,0.05,51,2,0.513,0
42,w/o Corridor Mutex Lock,R_lock = 0,1,26.9,0,0.05,51,2,0.513,0
42,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,17.31,530,85,0.5,0
42,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,39.05,0,0.0,216,74,0.0,0
43,Full D2RO Framework,None (Complete Equation),1,37.95,0,0.02,52,2,0.507,0
43,w/o V2V Mesh Telemetry,W_mesh = 0,1,37.35,0,0.0,147,3,0.506,0
43,w/o Corridor Mutex Lock,R_lock = 0,1,37.35,0,0.0,147,3,0.506,0
43,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.87,291,50,0.511,0
43,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,38.55,0,0.02,236,72,0.0,0
44,Full D2RO Framework,None (Complete Equation),1,42.8,0,0.0,158,2,0.511,0
44,w/o V2V Mesh Telemetry,W_mesh = 0,1,46.65,0,0.03,250,3,0.511,0
44,w/o Corridor Mutex Lock,R_lock = 0,1,46.65,0,0.03,250,3,0.511,0
44,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.99,109,44,0.517,0
44,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.01,224,82,0.0,0
45,Full D2RO Framework,None (Complete Equation),1,77.4,0,0.12,802,39,0.511,0
45,w/o V2V Mesh Telemetry,W_mesh = 0,1,60.7,0,0.07,437,30,0.499,0
45,w/o Corridor Mutex Lock,R_lock = 0,1,60.7,0,0.07,437,30,0.499,0
45,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.32,316,71,0.488,0
45,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,70.95,0,1.0,219,115,0.0,0
46,Full D2RO Framework,None (Complete Equation),1,44.35,0,0.0,170,4,0.511,0
46,w/o V2V Mesh Telemetry,W_mesh = 0,1,152.1,0,4.13,1158,103,0.314,0
46,w/o Corridor Mutex Lock,R_lock = 0,1,125.5,0,3.61,742,120,0.314,0
46,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.48,663,122,0.334,0
46,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.0,224,82,0.0,0
47,Full D2RO Framework,None (Complete Equation),1,36.4,0,0.02,90,3,0.507,0
47,w/o V2V Mesh Telemetry,W_mesh = 0,1,31.25,0,0.0,78,3,0.496,0
47,w/o Corridor Mutex Lock,R_lock = 0,1,31.25,0,0.0,78,3,0.496,0
