trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
38,4,10,100.0,26.9,0.608,0.0,21
38,6,10,100.0,62.9,0.694,0.0,47
38,8,10,100.0,35.1,0.681,0.0,38
38,10,10,100.0,30.85,0.712,0.0,57
38,12,10,0.0,65.05,0.504,0.0,77
39,2,10,100.0,24.1,0.599,0.0,8
39,4,10,100.0,17.55,0.612,0.0,5
39,6,10,100.0,35.1,0.69,0.0,65
39,8,10,0.0,65.05,0.757,0.0,475
39,10,10,100.0,22.5,0.622,0.0,80
39,12,10,100.0,22.35,0.549,0.0,73
40,2,10,100.0,17.45,0.62,0.0,2
40,4,10,100.0,22.3,0.589,0.0,21
40,6,10,100.0,27.75,0.666,0.0,32
40,8,10,100.0,35.65,0.764,0.0,80
40,10,10,100.0,30.7,0.855,0.0,133
40,12,10,100.0,21.95,0.574,0.0,51
41,2,10,100.0,23.85,0.689,0.0,8
41,4,10,100.0,30.05,0.666,0.0,12
41,6,10,100.0,24.9,0.493,0.0,32
41,8,10,100.0,43.15,0.457,0.0,66
41,10,10,100.0,52.25,0.541,0.0,128
41,12,10,100.0,30.7,0.639,0.0,128
42,2,10,100.0,20.05,0.748,0.0,7
42,4,10,100.0,25.4,0.693,0.0,23
42,6,10,100.0,27.15,0.489,0.0,19
42,8,10,100.0,29.6,1.397,0.0,32
42,10,10,100.0,23.85,0.542,0.0,83
42,12,10,100.0,51.2,0.489,0.0,109
43,2,10,100.0,22.9,0.559,0.0,4
43,4,10,100.0,34.2,0.422,0.0,12
43,6,10,100.0,34.3,0.65,0.0,38
43,8,10,100.0,23.6,0.715,0.0,52
43,10,10,0.0,65.05,0.55,0.0,82
43,12,10,0.0,65.05,0.622,0.0,355
44,2,10,100.0,36.4,0.694,0.0,5
44,4,10,100.0,22.05,0.63,0.0,20
44,6,10,100.0,41.6,0.74,0.0,43
44,8,10,100.0,38.55,0.736,0.0,162
44,10,10,100.0,26.35,0.585,0.0,66
44,12,10,100.0,30.2,0.552,0.0,84
45,2,10,100.0,14.9,0.667,0.0,0
45,4,10,100.0,36.4,0.655,0.0,10
45,6,10,100.0,24.0,0.717,0.0,29
45,8,10,0.0,65.05,0.828,0.0,307
45,10,10,100.0,22.9,0.474,0.0,77
45,12,10,100.0,63.45,0.758,0.0,159
46,2,10,100.0,24.95,0.619,0.0,3
46,4,10,100.0,36.85,0.863,0.0,26
46,6,10,100.0,34.3,0.703,0.0,90
46,8,10,100.0,25.85,0.538,0.0,37
46,10,10,100.0,56.6,0.595,0.0,107
46,12,10,100.0,30.65,0.57,0.0,251
47,2,10,100.0,46.0,0.682,0.0,6
47,4,10,100.0,29.75,0.48,0.0,23
